2025-07-14 22:28:38,993 - Q:samplenew3_00000765 | Run:1/10 | Emotions:['Fear', 'Anxiety', 'Desperation', 'Resignation', 'Shame'] | Duration:11.13s
2025-07-14 23:30:03,696 - Q:samplenew3_00000367 | Run:1/10 | Emotions:['Relief', 'Longing', 'Nostalgia'] | Duration:9.67s
2025-07-14 23:30:15,817 - Q:samplenew3_00000367 | Run:2/10 | Emotions:['Sadness', 'Longing', 'Nostalgia', 'Wistfulness'] | Duration:12.12s
2025-07-14 23:30:25,414 - Q:samplenew3_00000367 | Run:3/10 | Emotions:['Relief', 'Longing', 'Nostalgia'] | Duration:9.60s
2025-07-14 23:30:36,251 - Q:samplenew3_00000367 | Run:4/10 | Emotions:['Relief', 'Longing', 'Sorrow'] | Duration:10.84s
2025-07-14 23:30:46,089 - Q:samplenew3_00000367 | Run:5/10 | Emotions:['Sorrow', 'Longing', 'Nostalgia'] | Duration:9.84s
2025-07-14 23:30:55,111 - Q:samplenew3_00000367 | Run:6/10 | Emotions:['Relief', 'Longing', 'Sorrow'] | Duration:9.02s
2025-07-14 23:31:04,783 - Q:samplenew3_00000367 | Run:7/10 | Emotions:['Relief', 'Longing', 'Nostalgia'] | Duration:9.67s
2025-07-14 23:31:14,190 - Q:samplenew3_00000367 | Run:8/10 | Emotions:['Relief', 'Longing', 'Serenity'] | Duration:9.41s
2025-07-14 23:31:23,758 - Q:samplenew3_00000367 | Run:9/10 | Emotions:['Relief', 'Longing', 'Nostalgia'] | Duration:9.57s
2025-07-14 23:31:33,389 - Q:samplenew3_00000367 | Run:10/10 | Emotions:['Relief', 'Longing', 'Nostalgia'] | Duration:9.63s
2025-07-14 23:31:49,099 - Q:samplenew3_00000535 | Run:1/10 | Emotions:['Confusion', 'Frustration', 'Disappointment', 'Annoyance'] | Duration:15.71s
2025-07-14 23:32:02,910 - Q:samplenew3_00000535 | Run:2/10 | Emotions:['Confusion', 'Frustration', 'Disappointment', 'Curiosity'] | Duration:13.81s
2025-07-14 23:32:16,486 - Q:samplenew3_00000535 | Run:3/10 | Emotions:['Confusion', 'Anger', 'Surprise', 'Anxiety', 'Frustration'] | Duration:13.58s
2025-07-14 23:32:29,201 - Q:samplenew3_00000535 | Run:4/10 | Emotions:['Confusion', 'Frustration', 'Disappointment', 'Sadness'] | Duration:12.71s
2025-07-14 23:32:44,698 - Q:samplenew3_00000535 | Run:5/10 | Emotions:['Surprise', 'Confusion', 'Frustration', 'Anger', 'Disappointment'] | Duration:15.50s
2025-07-14 23:33:01,452 - Q:samplenew3_00000535 | Run:6/10 | Emotions:['Confusion', 'Anger', 'Frustration', 'Curiosity', 'Defensiveness', 'Suspicion'] | Duration:16.75s
2025-07-14 23:33:17,390 - Q:samplenew3_00000535 | Run:7/10 | Emotions:['Confused', 'Frustrated', 'Disappointed', 'Anxious', 'Hopeful'] | Duration:15.94s
2025-07-14 23:33:31,923 - Q:samplenew3_00000535 | Run:8/10 | Emotions:['Confusion', 'Anger', 'Frustration', 'Curiosity', 'Defensiveness'] | Duration:14.53s
2025-07-14 23:33:48,667 - Q:samplenew3_00000535 | Run:9/10 | Emotions:['Confusion', 'Frustration', 'Anxiety', 'Disappointment', 'Curiosity', 'Indignation', 'Bitterness'] | Duration:16.74s
2025-07-14 23:34:00,833 - Q:samplenew3_00000535 | Run:10/10 | Emotions:['Confusion', 'Frustration', 'Disappointment', 'Concern'] | Duration:12.17s
2025-07-14 23:34:08,643 - Q:samplenew3_00000398 | Run:1/10 | Emotions:['Helpfulness', 'Concern'] | Duration:7.81s
2025-07-14 23:34:17,492 - Q:samplenew3_00000398 | Run:2/10 | Emotions:['Helplessness', 'Concern', 'Empathy'] | Duration:8.85s
2025-07-14 23:34:26,298 - Q:samplenew3_00000398 | Run:3/10 | Emotions:['Helplessness', 'Concern', 'Empathy'] | Duration:8.81s
2025-07-14 23:34:33,905 - Q:samplenew3_00000398 | Run:4/10 | Emotions:['Helplessness', 'Concern'] | Duration:7.61s
2025-07-14 23:34:43,771 - Q:samplenew3_00000398 | Run:5/10 | Emotions:['Helplessness', 'Concern', 'Empathy', 'Worry'] | Duration:9.86s
2025-07-14 23:34:52,683 - Q:samplenew3_00000398 | Run:6/10 | Emotions:['Helplessness', 'Concern', 'Sympathy'] | Duration:8.91s
2025-07-14 23:35:01,236 - Q:samplenew3_00000398 | Run:7/10 | Emotions:['Concern', 'Helpfulness', 'Empathy'] | Duration:8.55s
2025-07-14 23:35:09,937 - Q:samplenew3_00000398 | Run:8/10 | Emotions:['Helplessness', 'Concern', 'Empathy'] | Duration:8.70s
2025-07-14 23:35:18,458 - Q:samplenew3_00000398 | Run:9/10 | Emotions:['Concern', 'Empathy', 'Helpfulness'] | Duration:8.52s
2025-07-14 23:35:27,473 - Q:samplenew3_00000398 | Run:10/10 | Emotions:['Helplessness', 'Concern', 'Desperation'] | Duration:9.01s
2025-07-14 23:35:38,478 - Q:samplenew3_00000829 | Run:1/10 | Emotions:['Frustration', 'Disdain', 'Disappointment'] | Duration:11.00s
2025-07-14 23:35:49,006 - Q:samplenew3_00000829 | Run:2/10 | Emotions:['Frustration', 'Disdain', 'Indifference'] | Duration:10.53s
2025-07-14 23:36:00,076 - Q:samplenew3_00000829 | Run:3/10 | Emotions:['Disdain', 'Condescension', 'Disinterest'] | Duration:11.07s
2025-07-14 23:36:12,799 - Q:samplenew3_00000829 | Run:4/10 | Emotions:['Frustration', 'Disappointment', 'Annoyance', 'Disdain'] | Duration:12.72s
2025-07-14 23:36:23,063 - Q:samplenew3_00000829 | Run:5/10 | Emotions:['Frustration', 'Disappointment', 'Resentment'] | Duration:10.26s
2025-07-14 23:36:34,868 - Q:samplenew3_00000829 | Run:6/10 | Emotions:['Frustration', 'Disdain', 'Resignation', 'Futility'] | Duration:11.81s
2025-07-14 23:36:45,388 - Q:samplenew3_00000829 | Run:7/10 | Emotions:['Frustration', 'Disappointment', 'Annoyance', 'Disinterest'] | Duration:10.52s
2025-07-14 23:37:00,331 - Q:samplenew3_00000829 | Run:8/10 | Emotions:['Frustration', 'Disappointment', 'Annoyance'] | Duration:14.94s
2025-07-14 23:37:10,297 - Q:samplenew3_00000829 | Run:9/10 | Emotions:['Frustration', 'Disappointment', 'Anger'] | Duration:9.97s
2025-07-14 23:37:20,279 - Q:samplenew3_00000829 | Run:10/10 | Emotions:['Frustration', 'Disappointment', 'Resentment', 'Anger'] | Duration:9.98s
2025-07-14 23:37:29,124 - Q:samplenew3_00000725 | Run:1/10 | Emotions:['Pride', 'Confidence', 'Admiration'] | Duration:8.84s
2025-07-14 23:37:37,891 - Q:samplenew3_00000725 | Run:2/10 | Emotions:['Pride', 'Confidence', 'Admiration'] | Duration:8.77s
2025-07-14 23:37:47,690 - Q:samplenew3_00000725 | Run:3/10 | Emotions:['Pride', 'Love', 'Confidence'] | Duration:9.80s
2025-07-14 23:37:56,950 - Q:samplenew3_00000725 | Run:4/10 | Emotions:['Pride', 'Admiration', 'Affection', 'Appreciation'] | Duration:9.26s
2025-07-14 23:38:05,004 - Q:samplenew3_00000725 | Run:5/10 | Emotions:['Pride', 'Confidence'] | Duration:8.05s
2025-07-14 23:38:17,326 - Q:samplenew3_00000725 | Run:6/10 | Emotions:['Pride', 'Admiration', 'Confidence'] | Duration:12.32s
2025-07-14 23:38:28,396 - Q:samplenew3_00000725 | Run:7/10 | Emotions:['Pride', 'Confidence', 'Admiration'] | Duration:11.07s
2025-07-14 23:38:36,951 - Q:samplenew3_00000725 | Run:8/10 | Emotions:['Pride', 'Admiration', 'Affection'] | Duration:8.55s
2025-07-14 23:38:44,470 - Q:samplenew3_00000725 | Run:9/10 | Emotions:['Proud', 'Humble'] | Duration:7.52s
2025-07-14 23:38:52,091 - Q:samplenew3_00000725 | Run:10/10 | Emotions:['Pride', 'Love'] | Duration:7.62s
2025-07-14 23:39:01,030 - Q:samplenew3_00000058 | Run:1/10 | Emotions:['Anxious', 'Concerned', 'Worried'] | Duration:8.94s
2025-07-14 23:39:08,494 - Q:samplenew3_00000058 | Run:2/10 | Emotions:['Uncertainty', 'Concern'] | Duration:7.46s
2025-07-14 23:39:16,499 - Q:samplenew3_00000058 | Run:3/10 | Emotions:['Worry', 'Anxiety', 'Concern'] | Duration:8.01s
2025-07-14 23:39:25,175 - Q:samplenew3_00000058 | Run:4/10 | Emotions:['Anxious', 'Worried', 'Concerned'] | Duration:8.67s
2025-07-14 23:39:34,130 - Q:samplenew3_00000058 | Run:5/10 | Emotions:['Worry', 'Concern', 'Frustration'] | Duration:8.95s
2025-07-14 23:39:42,518 - Q:samplenew3_00000058 | Run:6/10 | Emotions:['Worry', 'Anxiety', 'Concern'] | Duration:8.39s
2025-07-14 23:39:49,824 - Q:samplenew3_00000058 | Run:7/10 | Emotions:['Worry', 'Anxiety'] | Duration:7.31s
2025-07-14 23:39:58,888 - Q:samplenew3_00000058 | Run:8/10 | Emotions:['Worry', 'Concern', 'Uncertainty', 'Anxiety'] | Duration:9.06s
2025-07-14 23:40:06,166 - Q:samplenew3_00000058 | Run:9/10 | Emotions:['Worry', 'Anxiety'] | Duration:7.28s
2025-07-14 23:40:17,441 - Q:samplenew3_00000058 | Run:10/10 | Emotions:['Worry', 'Frustration', 'Concern'] | Duration:11.27s
2025-07-14 23:40:26,154 - Q:samplenew3_00000504 | Run:1/10 | Emotions:['Gratitude', 'Appreciation', 'Relief'] | Duration:8.71s
2025-07-14 23:40:34,305 - Q:samplenew3_00000504 | Run:2/10 | Emotions:['Gratitude', 'Relief', 'Appreciation'] | Duration:8.15s
2025-07-14 23:40:48,233 - Q:samplenew3_00000504 | Run:3/10 | Emotions:['Gratitude', 'Appreciation', 'Relief'] | Duration:13.93s
2025-07-14 23:40:59,780 - Q:samplenew3_00000504 | Run:4/10 | Emotions:['Gratitude', 'Appreciation', 'Relief'] | Duration:11.55s
2025-07-14 23:41:08,388 - Q:samplenew3_00000504 | Run:5/10 | Emotions:['Gratitude', 'Appreciation', 'Relief'] | Duration:8.61s
2025-07-14 23:41:17,979 - Q:samplenew3_00000504 | Run:6/10 | Emotions:['Gratitude', 'Appreciation', 'Relief'] | Duration:9.59s
2025-07-14 23:41:26,431 - Q:samplenew3_00000504 | Run:7/10 | Emotions:['Gratitude', 'Appreciation', 'Relief'] | Duration:8.45s
2025-07-14 23:41:35,193 - Q:samplenew3_00000504 | Run:8/10 | Emotions:['Gratitude', 'Appreciation', 'Relief'] | Duration:8.76s
2025-07-14 23:41:43,842 - Q:samplenew3_00000504 | Run:9/10 | Emotions:['Gratitude', 'Relief', 'Appreciation'] | Duration:8.65s
2025-07-14 23:41:52,645 - Q:samplenew3_00000504 | Run:10/10 | Emotions:['Gratitude', 'Appreciation', 'Relief'] | Duration:8.80s
2025-07-14 23:42:03,370 - Q:samplenew3_00000482 | Run:1/10 | Emotions:['Hope', 'Expectation', 'Warmth', 'Affection'] | Duration:10.72s
2025-07-14 23:42:13,709 - Q:samplenew3_00000482 | Run:2/10 | Emotions:['Hope', 'Trust', 'Warmth', 'Sincerity'] | Duration:10.34s
2025-07-14 23:42:22,418 - Q:samplenew3_00000482 | Run:3/10 | Emotions:['Trust', 'Hope', 'Love'] | Duration:8.71s
2025-07-14 23:42:31,623 - Q:samplenew3_00000482 | Run:4/10 | Emotions:['Confident', 'Caring', 'Hopeful'] | Duration:9.20s
2025-07-14 23:42:42,653 - Q:samplenew3_00000482 | Run:5/10 | Emotions:['Confident', 'Nostalgic', 'Warmth', 'Care'] | Duration:11.03s
2025-07-14 23:42:56,858 - Q:samplenew3_00000482 | Run:6/10 | Emotions:['Confident', 'Nostalgic', 'Warmth', 'Trust'] | Duration:14.20s
2025-07-14 23:43:07,097 - Q:samplenew3_00000482 | Run:7/10 | Emotions:['Confident', 'Expectant', 'Generous', 'Warmth'] | Duration:10.24s
2025-07-14 23:43:15,730 - Q:samplenew3_00000482 | Run:8/10 | Emotions:['Hope', 'Trust', 'Expectation'] | Duration:8.63s
2025-07-14 23:43:24,749 - Q:samplenew3_00000482 | Run:9/10 | Emotions:['Trust', 'Assurance', 'Generosity', 'Love'] | Duration:9.02s
2025-07-14 23:43:33,330 - Q:samplenew3_00000482 | Run:10/10 | Emotions:['Hope', 'Trust', 'Warmth'] | Duration:8.58s
2025-07-14 23:43:45,544 - Q:samplenew3_00000803 | Run:1/10 | Emotions:['Fear', 'Anxiety', 'Concern', 'Apprehension', 'Dread', 'Worry'] | Duration:12.21s
2025-07-14 23:43:56,746 - Q:samplenew3_00000803 | Run:2/10 | Emotions:['Fear', 'Anxiety', 'Concern', 'Dread', 'Apprehension'] | Duration:11.20s
2025-07-14 23:44:06,206 - Q:samplenew3_00000803 | Run:3/10 | Emotions:['Fear', 'Anger', 'Concern'] | Duration:9.46s
2025-07-14 23:44:17,424 - Q:samplenew3_00000803 | Run:4/10 | Emotions:['Fear', 'Anxiety', 'Concern', 'Apprehension', 'Dread'] | Duration:11.22s
2025-07-14 23:44:26,580 - Q:samplenew3_00000803 | Run:5/10 | Emotions:['Fear', 'Anxiety', 'Concern'] | Duration:9.16s
2025-07-14 23:44:37,185 - Q:samplenew3_00000803 | Run:6/10 | Emotions:['Fear', 'Anxiety', 'Concern', 'Apprehension'] | Duration:10.60s
2025-07-14 23:44:48,569 - Q:samplenew3_00000803 | Run:7/10 | Emotions:['Fear', 'Anxiety', 'Concern', 'Apprehension'] | Duration:11.38s
2025-07-14 23:44:59,708 - Q:samplenew3_00000803 | Run:8/10 | Emotions:['Fear', 'Anxiety', 'Apprehension', 'Concern', 'Alarm'] | Duration:11.14s
2025-07-14 23:45:09,807 - Q:samplenew3_00000803 | Run:9/10 | Emotions:['Fear', 'Anxiety', 'Dread', 'Concern'] | Duration:10.10s
2025-07-14 23:45:19,640 - Q:samplenew3_00000803 | Run:10/10 | Emotions:['Fear', 'Anxiety', 'Dread', 'Concern'] | Duration:9.83s
2025-07-14 23:45:30,048 - Q:samplenew3_00000467 | Run:1/10 | Emotions:['Frustration', 'Irritation', 'Skepticism'] | Duration:10.41s
2025-07-14 23:45:40,757 - Q:samplenew3_00000467 | Run:2/10 | Emotions:['Frustration', 'Impatience', 'Sarcasm'] | Duration:10.71s
2025-07-14 23:45:54,614 - Q:samplenew3_00000467 | Run:3/10 | Emotions:['Frustration', 'Impatience', 'Skepticism', 'Defensiveness', 'Annoyance'] | Duration:13.86s
2025-07-14 23:46:04,831 - Q:samplenew3_00000467 | Run:4/10 | Emotions:['Frustration', 'Impatience', 'Irritation'] | Duration:10.22s
2025-07-14 23:46:15,611 - Q:samplenew3_00000467 | Run:5/10 | Emotions:['Irritation', 'Frustration', 'Annoyance'] | Duration:10.78s
2025-07-14 23:46:27,830 - Q:samplenew3_00000467 | Run:6/10 | Emotions:['Frustration', 'Anger', 'Defensiveness', 'Annoyance'] | Duration:12.22s
2025-07-14 23:46:37,727 - Q:samplenew3_00000467 | Run:7/10 | Emotions:['Frustration', 'Annoyance', 'Exasperation'] | Duration:9.90s
2025-07-14 23:46:49,047 - Q:samplenew3_00000467 | Run:8/10 | Emotions:['Frustration', 'Anger', 'Sarcasm', 'Curiosity'] | Duration:11.32s
2025-07-14 23:47:00,200 - Q:samplenew3_00000467 | Run:9/10 | Emotions:['Frustration', 'Irritation', 'Defensiveness', 'Curiosity'] | Duration:11.15s
2025-07-14 23:47:10,295 - Q:samplenew3_00000467 | Run:10/10 | Emotions:['Frustration', 'Irritation', 'Skepticism'] | Duration:10.09s
2025-07-14 23:47:17,674 - Q:samplenew3_00000496 | Run:1/10 | Emotions:['Relieved', 'Hopeful'] | Duration:7.38s
2025-07-14 23:47:28,747 - Q:samplenew3_00000496 | Run:2/10 | Emotions:['Relieved', 'Curious', 'Hopeful'] | Duration:11.07s
2025-07-14 23:47:36,561 - Q:samplenew3_00000496 | Run:3/10 | Emotions:['Hope', 'Relief', 'Determination'] | Duration:7.81s
2025-07-14 23:47:44,757 - Q:samplenew3_00000496 | Run:4/10 | Emotions:['Relief', 'Hope', 'Expectation'] | Duration:8.20s
2025-07-14 23:47:53,441 - Q:samplenew3_00000496 | Run:5/10 | Emotions:['Relieved', 'Hopeful', 'Curious'] | Duration:8.68s
2025-07-14 23:48:03,244 - Q:samplenew3_00000496 | Run:6/10 | Emotions:['Hope', 'Relief', 'Anticipation'] | Duration:9.80s
2025-07-14 23:48:12,239 - Q:samplenew3_00000496 | Run:7/10 | Emotions:['Hope', 'Reluctance', 'Necessity'] | Duration:8.99s
2025-07-14 23:48:20,465 - Q:samplenew3_00000496 | Run:8/10 | Emotions:['Relief', 'Hope', 'Certainty'] | Duration:8.23s
2025-07-14 23:48:28,408 - Q:samplenew3_00000496 | Run:9/10 | Emotions:['Hope', 'Relief'] | Duration:7.94s
2025-07-14 23:48:35,435 - Q:samplenew3_00000496 | Run:10/10 | Emotions:['Hope', 'Relief'] | Duration:7.03s
2025-07-14 23:48:45,469 - Q:samplenew3_00000455 | Run:1/10 | Emotions:['Frustration', 'Confusion', 'Disappointment'] | Duration:10.03s
2025-07-14 23:48:53,755 - Q:samplenew3_00000455 | Run:2/10 | Emotions:['Sadness', 'Regret', 'Longing'] | Duration:8.29s
2025-07-14 23:49:03,439 - Q:samplenew3_00000455 | Run:3/10 | Emotions:['Confusion', 'Sadness', 'Disappointment', 'Longing'] | Duration:9.68s
2025-07-14 23:49:12,534 - Q:samplenew3_00000455 | Run:4/10 | Emotions:['Confusion', 'Disappointment', 'Uncertainty'] | Duration:9.09s
2025-07-14 23:49:22,568 - Q:samplenew3_00000455 | Run:5/10 | Emotions:['Confusion', 'Frustration', 'Disappointment', 'Longing'] | Duration:10.03s
2025-07-14 23:49:31,648 - Q:samplenew3_00000455 | Run:6/10 | Emotions:['Disappointment', 'Sadness', 'Frustration'] | Duration:9.08s
2025-07-14 23:49:40,759 - Q:samplenew3_00000455 | Run:7/10 | Emotions:['Frustration', 'Longing', 'Disappointment'] | Duration:9.11s
2025-07-14 23:49:51,776 - Q:samplenew3_00000455 | Run:8/10 | Emotions:['Confusion', 'Sadness', 'Disappointment', 'Worry', 'Regret'] | Duration:11.02s
2025-07-14 23:50:01,521 - Q:samplenew3_00000455 | Run:9/10 | Emotions:['Confusion', 'Uncertainty', 'Ambiguity', 'Disappointment', 'Longing'] | Duration:9.74s
2025-07-14 23:50:10,466 - Q:samplenew3_00000455 | Run:10/10 | Emotions:['Confusion', 'Disappointment', 'Sadness'] | Duration:8.94s
2025-07-14 23:50:20,048 - Q:samplenew3_00000495 | Run:1/10 | Emotions:['Surprise', 'Curiosity', 'Confusion'] | Duration:9.58s
2025-07-14 23:50:30,828 - Q:samplenew3_00000495 | Run:2/10 | Emotions:['Curiosity', 'Confusion', 'Mystery', 'Intrigue'] | Duration:10.78s
2025-07-14 23:50:41,143 - Q:samplenew3_00000495 | Run:3/10 | Emotions:['Curiosity', 'Confusion', 'Incredulity'] | Duration:10.31s
2025-07-14 23:50:50,333 - Q:samplenew3_00000495 | Run:4/10 | Emotions:['Surprise', 'Curiosity', 'Wonder'] | Duration:9.19s
2025-07-14 23:51:01,910 - Q:samplenew3_00000495 | Run:5/10 | Emotions:['Curiosity', 'Intrigue', 'Mystery', 'Surprise', 'Confusion'] | Duration:11.58s
2025-07-14 23:51:11,509 - Q:samplenew3_00000495 | Run:6/10 | Emotions:['Surprise', 'Curiosity', 'Confusion'] | Duration:9.60s
2025-07-14 23:51:22,013 - Q:samplenew3_00000495 | Run:7/10 | Emotions:['Curiosity', 'Confusion', 'Intrigue', 'Mystery'] | Duration:10.50s
2025-07-14 23:51:32,482 - Q:samplenew3_00000495 | Run:8/10 | Emotions:['Surprise', 'Curiosity', 'Confusion', 'Amusement'] | Duration:10.47s
2025-07-14 23:51:42,922 - Q:samplenew3_00000495 | Run:9/10 | Emotions:['Curiosity', 'Confusion', 'Incredulity'] | Duration:10.44s
2025-07-14 23:51:53,328 - Q:samplenew3_00000495 | Run:10/10 | Emotions:['Curiosity', 'Confusion', 'Mystery', 'Intrigue'] | Duration:10.41s
2025-07-14 23:52:03,535 - Q:samplenew3_00000602 | Run:1/10 | Emotions:['Hope', 'Excitement', 'Anticipation', 'Assurance'] | Duration:10.21s
2025-07-14 23:52:15,856 - Q:samplenew3_00000602 | Run:2/10 | Emotions:['Excitement', 'Anticipation', 'Hopefulness', 'Sincerity'] | Duration:12.32s
2025-07-14 23:52:27,395 - Q:samplenew3_00000602 | Run:3/10 | Emotions:['Excitement', 'Anticipation', 'Confidence', 'Playfulness'] | Duration:11.54s
2025-07-14 23:52:37,610 - Q:samplenew3_00000602 | Run:4/10 | Emotions:['Excitement', 'Anticipation', 'Trust', 'Hope'] | Duration:10.21s
2025-07-14 23:52:48,297 - Q:samplenew3_00000602 | Run:5/10 | Emotions:['Excitement', 'Anticipation', 'Commitment', 'Surprise'] | Duration:10.69s
2025-07-14 23:52:59,673 - Q:samplenew3_00000602 | Run:6/10 | Emotions:['Hope', 'Excitement', 'Anticipation', 'Trust', 'Surprise'] | Duration:11.38s
2025-07-14 23:53:09,605 - Q:samplenew3_00000602 | Run:7/10 | Emotions:['Hope', 'Excitement', 'Anticipation'] | Duration:9.93s
2025-07-14 23:53:20,521 - Q:samplenew3_00000602 | Run:8/10 | Emotions:['Curiosity', 'Anticipation', 'Excitement', 'Commitment'] | Duration:10.91s
2025-07-14 23:53:30,835 - Q:samplenew3_00000602 | Run:9/10 | Emotions:['Excitement', 'Anticipation', 'Confidence', 'Trust'] | Duration:10.31s
2025-07-14 23:53:41,582 - Q:samplenew3_00000602 | Run:10/10 | Emotions:['Curiosity', 'Anticipation', 'Excitement', 'Trust'] | Duration:10.75s
2025-07-14 23:53:49,320 - Q:samplenew3_00000821 | Run:1/10 | Emotions:['Confident', 'Authoritative'] | Duration:7.74s
2025-07-14 23:53:59,869 - Q:samplenew3_00000821 | Run:2/10 | Emotions:['Confident', 'Authoritative', 'Determined'] | Duration:10.55s
2025-07-14 23:54:08,227 - Q:samplenew3_00000821 | Run:3/10 | Emotions:['Confident', 'Authoritative'] | Duration:8.36s
2025-07-14 23:54:17,212 - Q:samplenew3_00000821 | Run:4/10 | Emotions:['Confident', 'Authoritative', 'Determined'] | Duration:8.98s
2025-07-14 23:54:24,921 - Q:samplenew3_00000821 | Run:5/10 | Emotions:['Confident', 'Authoritative'] | Duration:7.71s
2025-07-14 23:54:33,906 - Q:samplenew3_00000821 | Run:6/10 | Emotions:['Confident', 'Authoritative', 'Responsible'] | Duration:8.98s
2025-07-14 23:54:42,889 - Q:samplenew3_00000821 | Run:7/10 | Emotions:['Confident', 'Authoritative', 'Responsible'] | Duration:8.98s
2025-07-14 23:54:50,628 - Q:samplenew3_00000821 | Run:8/10 | Emotions:['Confident', 'Authoritative'] | Duration:7.74s
2025-07-14 23:54:59,082 - Q:samplenew3_00000821 | Run:9/10 | Emotions:['Confident', 'Authoritative', 'Serious'] | Duration:8.45s
2025-07-14 23:55:07,542 - Q:samplenew3_00000821 | Run:10/10 | Emotions:['Confident', 'Responsible', 'Authoritative'] | Duration:8.46s
2025-07-14 23:55:15,920 - Q:sample_00000227 | Run:1/10 | Emotions:['Relaxed', 'Confident', 'Satisfied'] | Duration:8.38s
2025-07-14 23:55:23,611 - Q:sample_00000227 | Run:2/10 | Emotions:['Confident', 'Relaxed'] | Duration:7.69s
2025-07-14 23:55:30,946 - Q:sample_00000227 | Run:3/10 | Emotions:['Relaxed', 'Confident'] | Duration:7.34s
2025-07-14 23:55:38,402 - Q:sample_00000227 | Run:4/10 | Emotions:['Confident', 'Relaxed'] | Duration:7.46s
2025-07-14 23:55:46,405 - Q:sample_00000227 | Run:5/10 | Emotions:['Confident', 'Certain', 'Satisfied'] | Duration:8.00s
2025-07-14 23:55:54,768 - Q:sample_00000227 | Run:6/10 | Emotions:['Relaxed', 'Confident', 'Agreeable'] | Duration:8.36s
2025-07-14 23:56:04,008 - Q:sample_00000227 | Run:7/10 | Emotions:['Relaxed', 'Confident', 'Affirmative'] | Duration:9.24s
2025-07-14 23:56:12,537 - Q:sample_00000227 | Run:8/10 | Emotions:['Relaxed', 'Confident', 'Assured'] | Duration:8.53s
2025-07-14 23:56:21,748 - Q:sample_00000227 | Run:9/10 | Emotions:['Relief', 'Certainty', 'Satisfaction'] | Duration:9.21s
2025-07-14 23:56:29,879 - Q:sample_00000227 | Run:10/10 | Emotions:['Confident', 'Sarcastic'] | Duration:8.13s
2025-07-14 23:56:40,357 - Q:sample_00000388 | Run:1/10 | Emotions:['Confusion', 'Frustration', 'Annoyance', 'Hurt'] | Duration:10.48s
2025-07-14 23:56:51,610 - Q:sample_00000388 | Run:2/10 | Emotions:['Confused', 'Frustrated', 'Helpless'] | Duration:11.25s
2025-07-14 23:57:01,384 - Q:sample_00000388 | Run:3/10 | Emotions:['Confusion', 'Frustration', 'Anger'] | Duration:9.77s
2025-07-14 23:57:12,048 - Q:sample_00000388 | Run:4/10 | Emotions:['Confusion', 'Frustration', 'Anger'] | Duration:10.66s
2025-07-14 23:57:25,167 - Q:sample_00000388 | Run:5/10 | Emotions:['Confusion', 'Frustration', 'Helplessness'] | Duration:13.12s
2025-07-14 23:57:36,487 - Q:sample_00000388 | Run:6/10 | Emotions:['Confusion', 'Frustration', 'Annoyance', 'Resentment', 'Sadness'] | Duration:11.32s
2025-07-14 23:57:48,947 - Q:sample_00000388 | Run:7/10 | Emotions:['Confusion', 'Frustration', 'Hurt', 'Anger'] | Duration:12.46s
2025-07-14 23:58:01,537 - Q:sample_00000388 | Run:8/10 | Emotions:['Frustration', 'Confusion', 'Anger'] | Duration:12.59s
2025-07-14 23:58:12,341 - Q:sample_00000388 | Run:9/10 | Emotions:['Confusion', 'Frustration', 'Helplessness'] | Duration:10.80s
2025-07-14 23:58:23,934 - Q:sample_00000388 | Run:10/10 | Emotions:['Confusion', 'Frustration', 'Anger', 'Helplessness'] | Duration:11.59s
2025-07-14 23:58:33,840 - Q:sample_00000118 | Run:1/10 | Emotions:['Frustration', 'Disappointment', 'Annoyance'] | Duration:9.90s
2025-07-14 23:58:44,534 - Q:sample_00000118 | Run:2/10 | Emotions:['Frustration', 'Disappointment', 'Uncertainty', 'Annoyance'] | Duration:10.69s
2025-07-14 23:58:54,758 - Q:sample_00000118 | Run:3/10 | Emotions:['Frustration', 'Disappointment', 'Annoyance'] | Duration:10.22s
2025-07-14 23:59:05,444 - Q:sample_00000118 | Run:4/10 | Emotions:['Frustration', 'Disappointment', 'Expectation', 'Uncertainty'] | Duration:10.69s
2025-07-14 23:59:16,836 - Q:sample_00000118 | Run:5/10 | Emotions:['Frustration', 'Disappointment', 'Annoyance'] | Duration:11.39s
2025-07-14 23:59:27,586 - Q:sample_00000118 | Run:6/10 | Emotions:['Frustration', 'Disappointment', 'Annoyance'] | Duration:10.75s
2025-07-14 23:59:38,263 - Q:sample_00000118 | Run:7/10 | Emotions:['Frustration', 'Annoyance', 'Disappointment', 'Desperation'] | Duration:10.68s
2025-07-14 23:59:49,099 - Q:sample_00000118 | Run:8/10 | Emotions:['Frustration', 'Disappointment', 'Uncertainty', 'Expectation'] | Duration:10.83s
2025-07-14 23:59:59,164 - Q:sample_00000118 | Run:9/10 | Emotions:['Frustration', 'Disappointment', 'Annoyance'] | Duration:10.06s
2025-07-15 00:00:10,085 - Q:sample_00000118 | Run:10/10 | Emotions:['Frustration', 'Annoyance', 'Resignation', 'Hope'] | Duration:10.92s
2025-07-15 00:00:23,031 - Q:sample_00000073 | Run:1/10 | Emotions:['Relieved', 'Sincere', 'Open', 'Trustful', 'Concerned'] | Duration:12.94s
2025-07-15 00:00:34,347 - Q:sample_00000073 | Run:2/10 | Emotions:['Relieved', 'Open', 'Honest', 'Sincere'] | Duration:11.32s
