input,output
"If you are asked to analyze the emotion of this sentence: 把我给抓回去那我就完了我肯定会受到责罚的. What is your confidence level that you will answer emotion word ""Panic""?",low
"If you are asked to analyze the emotion of this sentence: 把我给抓回去那我就完了我肯定会受到责罚的. What is your confidence level that you will answer emotion word ""Regret""?",low
"If you are asked to analyze the emotion of this sentence: 把我给抓回去那我就完了我肯定会受到责罚的. What is your confidence level that you will answer emotion word ""Anger""?",low
"If you are asked to analyze the emotion of this sentence: 今后怎么样才是最重要的. What is your confidence level that you will answer emotion word ""Uncertainty""?",high
"If you are asked to analyze the emotion of this sentence: 今后怎么样才是最重要的. What is your confidence level that you will answer emotion word ""Curiosity""?",high
"If you are asked to analyze the emotion of this sentence: 今后怎么样才是最重要的. What is your confidence level that you will answer emotion word ""Concern""?",medium
"If you are asked to analyze the emotion of this sentence: 今后怎么样才是最重要的. What is your confidence level that you will answer emotion word ""Ambivalence""?",low
"If you are asked to analyze the emotion of this sentence: 今后怎么样才是最重要的. What is your confidence level that you will answer emotion word ""Confusion""?",low
"If you are asked to analyze the emotion of this sentence: 今后怎么样才是最重要的. What is your confidence level that you will answer emotion word ""Anxiety""?",low
"If you are asked to analyze the emotion of this sentence: 今后怎么样才是最重要的. What is your confidence level that you will answer emotion word ""Worry""?",low
"If you are asked to analyze the emotion of this sentence: 今后怎么样才是最重要的. What is your confidence level that you will answer emotion word ""Intrigue""?",low
"If you are asked to analyze the emotion of this sentence: 今后怎么样才是最重要的. What is your confidence level that you will answer emotion word ""Frustration""?",low
"If you are asked to analyze the emotion of this sentence: 今后怎么样才是最重要的. What is your confidence level that you will answer emotion word ""Hope""?",low
"If you are asked to analyze the emotion of this sentence: 今后怎么样才是最重要的. What is your confidence level that you will answer emotion word ""Ambiguity""?",low
"If you are asked to analyze the emotion of this sentence: 你一直默默地照顾我的家. What is your confidence level that you will answer emotion word ""Care""?",high
"If you are asked to analyze the emotion of this sentence: 你一直默默地照顾我的家. What is your confidence level that you will answer emotion word ""Devotion""?",high
"If you are asked to analyze the emotion of this sentence: 你一直默默地照顾我的家. What is your confidence level that you will answer emotion word ""Love""?",high
"If you are asked to analyze the emotion of this sentence: 你一直默默地照顾我的家. What is your confidence level that you will answer emotion word ""Loyalty""?",medium
"If you are asked to analyze the emotion of this sentence: 你一直默默地照顾我的家. What is your confidence level that you will answer emotion word ""Gratitude""?",medium
"If you are asked to analyze the emotion of this sentence: 你一直默默地照顾我的家. What is your confidence level that you will answer emotion word ""Concern""?",medium
"If you are asked to analyze the emotion of this sentence: 你一直默默地照顾我的家. What is your confidence level that you will answer emotion word ""Nurturing""?",low
"If you are asked to analyze the emotion of this sentence: 你一直默默地照顾我的家. What is your confidence level that you will answer emotion word ""Responsibility""?",low
"If you are asked to analyze the emotion of this sentence: 你一直默默地照顾我的家. What is your confidence level that you will answer emotion word ""Dedication""?",low
"If you are asked to analyze the emotion of this sentence: 你一直默默地照顾我的家. What is your confidence level that you will answer emotion word ""Affection""?",low
"If you are asked to analyze the emotion of this sentence: 你一直默默地照顾我的家. What is your confidence level that you will answer emotion word ""Tenderness""?",low
"If you are asked to analyze the emotion of this sentence: 花有重开日. What is your confidence level that you will answer emotion word ""Hope""?",high
"If you are asked to analyze the emotion of this sentence: 花有重开日. What is your confidence level that you will answer emotion word ""Expectation""?",high
"If you are asked to analyze the emotion of this sentence: 花有重开日. What is your confidence level that you will answer emotion word ""Joy""?",high
"If you are asked to analyze the emotion of this sentence: 花有重开日. What is your confidence level that you will answer emotion word ""Anticipation""?",low
"If you are asked to analyze the emotion of this sentence: 花有重开日. What is your confidence level that you will answer emotion word ""Longing""?",low
"If you are asked to analyze the emotion of this sentence: 花有重开日. What is your confidence level that you will answer emotion word ""Serenity""?",low
"If you are asked to analyze the emotion of this sentence: 只能让你眼睁睁看着他们受苦了. What is your confidence level that you will answer emotion word ""Sadness""?",high
"If you are asked to analyze the emotion of this sentence: 只能让你眼睁睁看着他们受苦了. What is your confidence level that you will answer emotion word ""Powerlessness""?",medium
"If you are asked to analyze the emotion of this sentence: 只能让你眼睁睁看着他们受苦了. What is your confidence level that you will answer emotion word ""Helplessness""?",medium
"If you are asked to analyze the emotion of this sentence: 只能让你眼睁睁看着他们受苦了. What is your confidence level that you will answer emotion word ""Frustration""?",medium
"If you are asked to analyze the emotion of this sentence: 只能让你眼睁睁看着他们受苦了. What is your confidence level that you will answer emotion word ""Helpless""?",medium
"If you are asked to analyze the emotion of this sentence: 只能让你眼睁睁看着他们受苦了. What is your confidence level that you will answer emotion word ""Anguish""?",low
"If you are asked to analyze the emotion of this sentence: 只能让你眼睁睁看着他们受苦了. What is your confidence level that you will answer emotion word ""Pity""?",low
"If you are asked to analyze the emotion of this sentence: 只能让你眼睁睁看着他们受苦了. What is your confidence level that you will answer emotion word ""Despair""?",low
"If you are asked to analyze the emotion of this sentence: 只能让你眼睁睁看着他们受苦了. What is your confidence level that you will answer emotion word ""Sympathy""?",low
"If you are asked to analyze the emotion of this sentence: 只能让你眼睁睁看着他们受苦了. What is your confidence level that you will answer emotion word ""Empathy""?",low
"If you are asked to analyze the emotion of this sentence: 只能让你眼睁睁看着他们受苦了. What is your confidence level that you will answer emotion word ""Sorrow""?",low
"If you are asked to analyze the emotion of this sentence: 只能让你眼睁睁看着他们受苦了. What is your confidence level that you will answer emotion word ""Distress""?",low
"If you are asked to analyze the emotion of this sentence: 只能让你眼睁睁看着他们受苦了. What is your confidence level that you will answer emotion word ""Anger""?",low
"If you are asked to analyze the emotion of this sentence: 我去你们这太不够意思了. What is your confidence level that you will answer emotion word ""Frustration""?",high
"If you are asked to analyze the emotion of this sentence: 我去你们这太不够意思了. What is your confidence level that you will answer emotion word ""Disappointment""?",high
"If you are asked to analyze the emotion of this sentence: 我去你们这太不够意思了. What is your confidence level that you will answer emotion word ""Anger""?",low
"If you are asked to analyze the emotion of this sentence: 我去你们这太不够意思了. What is your confidence level that you will answer emotion word ""Irritation""?",low
"If you are asked to analyze the emotion of this sentence: 我去你们这太不够意思了. What is your confidence level that you will answer emotion word ""Felt""?",low
"If you are asked to analyze the emotion of this sentence: 我去你们这太不够意思了. What is your confidence level that you will answer emotion word ""Impatience""?",low
"If you are asked to analyze the emotion of this sentence: 我去你们这太不够意思了. What is your confidence level that you will answer emotion word ""Futility""?",low
"If you are asked to analyze the emotion of this sentence: 我去你们这太不够意思了. What is your confidence level that you will answer emotion word ""Disappointed""?",low
"If you are asked to analyze the emotion of this sentence: 我去你们这太不够意思了. What is your confidence level that you will answer emotion word ""Frustrated""?",low
"If you are asked to analyze the emotion of this sentence: 我去你们这太不够意思了. What is your confidence level that you will answer emotion word ""Angry""?",low
"If you are asked to analyze the emotion of this sentence: 还有上个月在江州别扣他那批货. What is your confidence level that you will answer emotion word ""Frustration""?",high
"If you are asked to analyze the emotion of this sentence: 还有上个月在江州别扣他那批货. What is your confidence level that you will answer emotion word ""Disappointment""?",high
"If you are asked to analyze the emotion of this sentence: 还有上个月在江州别扣他那批货. What is your confidence level that you will answer emotion word ""Anger""?",low
"If you are asked to analyze the emotion of this sentence: 还有上个月在江州别扣他那批货. What is your confidence level that you will answer emotion word ""Annoyance""?",low
"If you are asked to analyze the emotion of this sentence: 还有上个月在江州别扣他那批货. What is your confidence level that you will answer emotion word ""Regret""?",low
"If you are asked to analyze the emotion of this sentence: 还有上个月在江州别扣他那批货. What is your confidence level that you will answer emotion word ""Frustrated""?",low
"If you are asked to analyze the emotion of this sentence: 还有上个月在江州别扣他那批货. What is your confidence level that you will answer emotion word ""Angry""?",low
"If you are asked to analyze the emotion of this sentence: 还有上个月在江州别扣他那批货. What is your confidence level that you will answer emotion word ""Irritation""?",low
"If you are asked to analyze the emotion of this sentence: 不能安置的呢？你让财务和人事部给我做一个补偿报告。. What is your confidence level that you will answer emotion word ""Frustration""?",high
"If you are asked to analyze the emotion of this sentence: 不能安置的呢？你让财务和人事部给我做一个补偿报告。. What is your confidence level that you will answer emotion word ""Disappointment""?",high
"If you are asked to analyze the emotion of this sentence: 不能安置的呢？你让财务和人事部给我做一个补偿报告。. What is your confidence level that you will answer emotion word ""Annoyance""?",high
"If you are asked to analyze the emotion of this sentence: 不能安置的呢？你让财务和人事部给我做一个补偿报告。. What is your confidence level that you will answer emotion word ""Uncertainty""?",low
"If you are asked to analyze the emotion of this sentence: 不能安置的呢？你让财务和人事部给我做一个补偿报告。. What is your confidence level that you will answer emotion word ""Expectation""?",low
"If you are asked to analyze the emotion of this sentence: 不能安置的呢？你让财务和人事部给我做一个补偿报告。. What is your confidence level that you will answer emotion word ""Desperation""?",low
"If you are asked to analyze the emotion of this sentence: 不能安置的呢？你让财务和人事部给我做一个补偿报告。. What is your confidence level that you will answer emotion word ""Resignation""?",low
"If you are asked to analyze the emotion of this sentence: 不能安置的呢？你让财务和人事部给我做一个补偿报告。. What is your confidence level that you will answer emotion word ""Hope""?",low
"If you are asked to analyze the emotion of this sentence: 徐江跟我的老公一直有矛盾他一直用一些卑鄙的低级的手段想把我们赶出市场所以他杀了我老公. What is your confidence level that you will answer emotion word ""Anger""?",high
"If you are asked to analyze the emotion of this sentence: 徐江跟我的老公一直有矛盾他一直用一些卑鄙的低级的手段想把我们赶出市场所以他杀了我老公. What is your confidence level that you will answer emotion word ""Frustration""?",high
"If you are asked to analyze the emotion of this sentence: 徐江跟我的老公一直有矛盾他一直用一些卑鄙的低级的手段想把我们赶出市场所以他杀了我老公. What is your confidence level that you will answer emotion word ""Fear""?",high
"If you are asked to analyze the emotion of this sentence: 徐江跟我的老公一直有矛盾他一直用一些卑鄙的低级的手段想把我们赶出市场所以他杀了我老公. What is your confidence level that you will answer emotion word ""Sadness""?",high
"If you are asked to analyze the emotion of this sentence: 徐江跟我的老公一直有矛盾他一直用一些卑鄙的低级的手段想把我们赶出市场所以他杀了我老公. What is your confidence level that you will answer emotion word ""Resentment""?",high
"If you are asked to analyze the emotion of this sentence: 徐江跟我的老公一直有矛盾他一直用一些卑鄙的低级的手段想把我们赶出市场所以他杀了我老公. What is your confidence level that you will answer emotion word ""Hatred""?",low
"If you are asked to analyze the emotion of this sentence: 徐江跟我的老公一直有矛盾他一直用一些卑鄙的低级的手段想把我们赶出市场所以他杀了我老公. What is your confidence level that you will answer emotion word ""Betrayal""?",low
"If you are asked to analyze the emotion of this sentence: 徐江跟我的老公一直有矛盾他一直用一些卑鄙的低级的手段想把我们赶出市场所以他杀了我老公. What is your confidence level that you will answer emotion word ""Outrage""?",low
"If you are asked to analyze the emotion of this sentence: 徐江跟我的老公一直有矛盾他一直用一些卑鄙的低级的手段想把我们赶出市场所以他杀了我老公. What is your confidence level that you will answer emotion word ""Despair""?",low
"If you are asked to analyze the emotion of this sentence: 徐江跟我的老公一直有矛盾他一直用一些卑鄙的低级的手段想把我们赶出市场所以他杀了我老公. What is your confidence level that you will answer emotion word ""Desperation""?",low
"If you are asked to analyze the emotion of this sentence: 徐江跟我的老公一直有矛盾他一直用一些卑鄙的低级的手段想把我们赶出市场所以他杀了我老公. What is your confidence level that you will answer emotion word ""Sorrow""?",low
"If you are asked to analyze the emotion of this sentence: 徐江跟我的老公一直有矛盾他一直用一些卑鄙的低级的手段想把我们赶出市场所以他杀了我老公. What is your confidence level that you will answer emotion word ""Bitterness""?",low
"If you are asked to analyze the emotion of this sentence: 徐江跟我的老公一直有矛盾他一直用一些卑鄙的低级的手段想把我们赶出市场所以他杀了我老公. What is your confidence level that you will answer emotion word ""Helplessness""?",low
"If you are asked to analyze the emotion of this sentence: 徐江跟我的老公一直有矛盾他一直用一些卑鄙的低级的手段想把我们赶出市场所以他杀了我老公. What is your confidence level that you will answer emotion word ""Anxiety""?",low
"If you are asked to analyze the emotion of this sentence: 要不然说林所长冰雪聪明的一点就透. What is your confidence level that you will answer emotion word ""Surprise""?",high
"If you are asked to analyze the emotion of this sentence: 要不然说林所长冰雪聪明的一点就透. What is your confidence level that you will answer emotion word ""Admiration""?",high
"If you are asked to analyze the emotion of this sentence: 要不然说林所长冰雪聪明的一点就透. What is your confidence level that you will answer emotion word ""Amusement""?",medium
"If you are asked to analyze the emotion of this sentence: 要不然说林所长冰雪聪明的一点就透. What is your confidence level that you will answer emotion word ""Pride""?",medium
"If you are asked to analyze the emotion of this sentence: 要不然说林所长冰雪聪明的一点就透. What is your confidence level that you will answer emotion word ""Curiosity""?",low
"If you are asked to analyze the emotion of this sentence: 要不然说林所长冰雪聪明的一点就透. What is your confidence level that you will answer emotion word ""Curious""?",low
"If you are asked to analyze the emotion of this sentence: 要不然说林所长冰雪聪明的一点就透. What is your confidence level that you will answer emotion word ""Approval""?",low
"If you are asked to analyze the emotion of this sentence: 要不然说林所长冰雪聪明的一点就透. What is your confidence level that you will answer emotion word ""Amazement""?",low
"If you are asked to analyze the emotion of this sentence: 好于小强，我今天把所有的事情，都跟你说清楚。. What is your confidence level that you will answer emotion word ""Relieved""?",high
"If you are asked to analyze the emotion of this sentence: 好于小强，我今天把所有的事情，都跟你说清楚。. What is your confidence level that you will answer emotion word ""Honest""?",medium
"If you are asked to analyze the emotion of this sentence: 好于小强，我今天把所有的事情，都跟你说清楚。. What is your confidence level that you will answer emotion word ""Open""?",medium
"If you are asked to analyze the emotion of this sentence: 好于小强，我今天把所有的事情，都跟你说清楚。. What is your confidence level that you will answer emotion word ""Sincere""?",medium
"If you are asked to analyze the emotion of this sentence: 好于小强，我今天把所有的事情，都跟你说清楚。. What is your confidence level that you will answer emotion word ""Sincerity""?",low
"If you are asked to analyze the emotion of this sentence: 好于小强，我今天把所有的事情，都跟你说清楚。. What is your confidence level that you will answer emotion word ""Relief""?",low
"If you are asked to analyze the emotion of this sentence: 好于小强，我今天把所有的事情，都跟你说清楚。. What is your confidence level that you will answer emotion word ""Confident""?",low
"If you are asked to analyze the emotion of this sentence: 好于小强，我今天把所有的事情，都跟你说清楚。. What is your confidence level that you will answer emotion word ""Honesty""?",low
"If you are asked to analyze the emotion of this sentence: 好于小强，我今天把所有的事情，都跟你说清楚。. What is your confidence level that you will answer emotion word ""Trustful""?",low
"If you are asked to analyze the emotion of this sentence: 好于小强，我今天把所有的事情，都跟你说清楚。. What is your confidence level that you will answer emotion word ""Concerned""?",low
"If you are asked to analyze the emotion of this sentence: 好于小强，我今天把所有的事情，都跟你说清楚。. What is your confidence level that you will answer emotion word ""Determined""?",low
"If you are asked to analyze the emotion of this sentence: 好于小强，我今天把所有的事情，都跟你说清楚。. What is your confidence level that you will answer emotion word ""Resolute""?",low
"If you are asked to analyze the emotion of this sentence: 好于小强，我今天把所有的事情，都跟你说清楚。. What is your confidence level that you will answer emotion word ""Calm""?",low
"If you are asked to analyze the emotion of this sentence: 好于小强，我今天把所有的事情，都跟你说清楚。. What is your confidence level that you will answer emotion word ""Trust""?",low
"If you are asked to analyze the emotion of this sentence: 一个人死了，非得找出谁的错，否则就不能安慰逝去的灵魂。我们的医学，什么时候沦落到替罪羊的地步？我们一线的医师，什么时候变得这么地胆怯。. What is your confidence level that you will answer emotion word ""Frustration""?",high
"If you are asked to analyze the emotion of this sentence: 一个人死了，非得找出谁的错，否则就不能安慰逝去的灵魂。我们的医学，什么时候沦落到替罪羊的地步？我们一线的医师，什么时候变得这么地胆怯。. What is your confidence level that you will answer emotion word ""Anger""?",high
"If you are asked to analyze the emotion of this sentence: 一个人死了，非得找出谁的错，否则就不能安慰逝去的灵魂。我们的医学，什么时候沦落到替罪羊的地步？我们一线的医师，什么时候变得这么地胆怯。. What is your confidence level that you will answer emotion word ""Sadness""?",high
"If you are asked to analyze the emotion of this sentence: 一个人死了，非得找出谁的错，否则就不能安慰逝去的灵魂。我们的医学，什么时候沦落到替罪羊的地步？我们一线的医师，什么时候变得这么地胆怯。. What is your confidence level that you will answer emotion word ""Disgust""?",high
"If you are asked to analyze the emotion of this sentence: 一个人死了，非得找出谁的错，否则就不能安慰逝去的灵魂。我们的医学，什么时候沦落到替罪羊的地步？我们一线的医师，什么时候变得这么地胆怯。. What is your confidence level that you will answer emotion word ""Helplessness""?",medium
"If you are asked to analyze the emotion of this sentence: 一个人死了，非得找出谁的错，否则就不能安慰逝去的灵魂。我们的医学，什么时候沦落到替罪羊的地步？我们一线的医师，什么时候变得这么地胆怯。. What is your confidence level that you will answer emotion word ""Outrage""?",medium
"If you are asked to analyze the emotion of this sentence: 一个人死了，非得找出谁的错，否则就不能安慰逝去的灵魂。我们的医学，什么时候沦落到替罪羊的地步？我们一线的医师，什么时候变得这么地胆怯。. What is your confidence level that you will answer emotion word ""Indignation""?",medium
"If you are asked to analyze the emotion of this sentence: 一个人死了，非得找出谁的错，否则就不能安慰逝去的灵魂。我们的医学，什么时候沦落到替罪羊的地步？我们一线的医师，什么时候变得这么地胆怯。. What is your confidence level that you will answer emotion word ""Grief""?",medium
"If you are asked to analyze the emotion of this sentence: 一个人死了，非得找出谁的错，否则就不能安慰逝去的灵魂。我们的医学，什么时候沦落到替罪羊的地步？我们一线的医师，什么时候变得这么地胆怯。. What is your confidence level that you will answer emotion word ""Shame""?",medium
"If you are asked to analyze the emotion of this sentence: 一个人死了，非得找出谁的错，否则就不能安慰逝去的灵魂。我们的医学，什么时候沦落到替罪羊的地步？我们一线的医师，什么时候变得这么地胆怯。. What is your confidence level that you will answer emotion word ""Disappointment""?",low
"If you are asked to analyze the emotion of this sentence: 一个人死了，非得找出谁的错，否则就不能安慰逝去的灵魂。我们的医学，什么时候沦落到替罪羊的地步？我们一线的医师，什么时候变得这么地胆怯。. What is your confidence level that you will answer emotion word ""Fear""?",low
"If you are asked to analyze the emotion of this sentence: 一个人死了，非得找出谁的错，否则就不能安慰逝去的灵魂。我们的医学，什么时候沦落到替罪羊的地步？我们一线的医师，什么时候变得这么地胆怯。. What is your confidence level that you will answer emotion word ""Concern""?",low
"If you are asked to analyze the emotion of this sentence: 一个人死了，非得找出谁的错，否则就不能安慰逝去的灵魂。我们的医学，什么时候沦落到替罪羊的地步？我们一线的医师，什么时候变得这么地胆怯。. What is your confidence level that you will answer emotion word ""Anxiety""?",low
"If you are asked to analyze the emotion of this sentence: 这不是三十八度还没到吗？三十八度才算烧呢，我这去不是让人笑话吗？. What is your confidence level that you will answer emotion word ""Frustration""?",high
"If you are asked to analyze the emotion of this sentence: 这不是三十八度还没到吗？三十八度才算烧呢，我这去不是让人笑话吗？. What is your confidence level that you will answer emotion word ""Embarrassment""?",high
"If you are asked to analyze the emotion of this sentence: 这不是三十八度还没到吗？三十八度才算烧呢，我这去不是让人笑话吗？. What is your confidence level that you will answer emotion word ""Annoyance""?",medium
"If you are asked to analyze the emotion of this sentence: 这不是三十八度还没到吗？三十八度才算烧呢，我这去不是让人笑话吗？. What is your confidence level that you will answer emotion word ""Disappointment""?",low
"If you are asked to analyze the emotion of this sentence: 这不是三十八度还没到吗？三十八度才算烧呢，我这去不是让人笑话吗？. What is your confidence level that you will answer emotion word ""Anger""?",low
"If you are asked to analyze the emotion of this sentence: 这不是三十八度还没到吗？三十八度才算烧呢，我这去不是让人笑话吗？. What is your confidence level that you will answer emotion word ""Exasperation""?",low
"If you are asked to analyze the emotion of this sentence: 这不是三十八度还没到吗？三十八度才算烧呢，我这去不是让人笑话吗？. What is your confidence level that you will answer emotion word ""Humiliation""?",low
"If you are asked to analyze the emotion of this sentence: 这不是三十八度还没到吗？三十八度才算烧呢，我这去不是让人笑话吗？. What is your confidence level that you will answer emotion word ""Irritation""?",low
"If you are asked to analyze the emotion of this sentence: 这不是三十八度还没到吗？三十八度才算烧呢，我这去不是让人笑话吗？. What is your confidence level that you will answer emotion word ""Sarcasm""?",low
"If you are asked to analyze the emotion of this sentence: 这不是三十八度还没到吗？三十八度才算烧呢，我这去不是让人笑话吗？. What is your confidence level that you will answer emotion word ""Frustrated""?",low
"If you are asked to analyze the emotion of this sentence: 这不是三十八度还没到吗？三十八度才算烧呢，我这去不是让人笑话吗？. What is your confidence level that you will answer emotion word ""Humiliated""?",low
"If you are asked to analyze the emotion of this sentence: 这不是三十八度还没到吗？三十八度才算烧呢，我这去不是让人笑话吗？. What is your confidence level that you will answer emotion word ""Annoyed""?",low
"If you are asked to analyze the emotion of this sentence: 我李约是个爱才之人. What is your confidence level that you will answer emotion word ""Pride""?",high
"If you are asked to analyze the emotion of this sentence: 我李约是个爱才之人. What is your confidence level that you will answer emotion word ""Admiration""?",medium
"If you are asked to analyze the emotion of this sentence: 我李约是个爱才之人. What is your confidence level that you will answer emotion word ""Confidence""?",medium
"If you are asked to analyze the emotion of this sentence: 我李约是个爱才之人. What is your confidence level that you will answer emotion word ""Love""?",low
"If you are asked to analyze the emotion of this sentence: 我李约是个爱才之人. What is your confidence level that you will answer emotion word ""Affection""?",low
"If you are asked to analyze the emotion of this sentence: 我李约是个爱才之人. What is your confidence level that you will answer emotion word ""Appreciation""?",low
"If you are asked to analyze the emotion of this sentence: 我李约是个爱才之人. What is your confidence level that you will answer emotion word ""Humble""?",low
"If you are asked to analyze the emotion of this sentence: 我李约是个爱才之人. What is your confidence level that you will answer emotion word ""Proud""?",low
"If you are asked to analyze the emotion of this sentence: 我告诉你，曹小强，我现在跟你结婚。. What is your confidence level that you will answer emotion word ""Surprise""?",high
"If you are asked to analyze the emotion of this sentence: 我告诉你，曹小强，我现在跟你结婚。. What is your confidence level that you will answer emotion word ""Determination""?",medium
"If you are asked to analyze the emotion of this sentence: 我告诉你，曹小强，我现在跟你结婚。. What is your confidence level that you will answer emotion word ""Excitement""?",medium
"If you are asked to analyze the emotion of this sentence: 我告诉你，曹小强，我现在跟你结婚。. What is your confidence level that you will answer emotion word ""Commitment""?",medium
"If you are asked to analyze the emotion of this sentence: 我告诉你，曹小强，我现在跟你结婚。. What is your confidence level that you will answer emotion word ""Love""?",medium
"If you are asked to analyze the emotion of this sentence: 我告诉你，曹小强，我现在跟你结婚。. What is your confidence level that you will answer emotion word ""Joy""?",low
"If you are asked to analyze the emotion of this sentence: 我告诉你，曹小强，我现在跟你结婚。. What is your confidence level that you will answer emotion word ""Anticipation""?",low
"If you are asked to analyze the emotion of this sentence: 我告诉你，曹小强，我现在跟你结婚。. What is your confidence level that you will answer emotion word ""Nervousness""?",low
"If you are asked to analyze the emotion of this sentence: 我告诉你，曹小强，我现在跟你结婚。. What is your confidence level that you will answer emotion word ""Excited""?",low
"If you are asked to analyze the emotion of this sentence: 我告诉你，曹小强，我现在跟你结婚。. What is your confidence level that you will answer emotion word ""Nervous""?",low
"If you are asked to analyze the emotion of this sentence: 我告诉你，曹小强，我现在跟你结婚。. What is your confidence level that you will answer emotion word ""Reluctant""?",low
"If you are asked to analyze the emotion of this sentence: 我告诉你，曹小强，我现在跟你结婚。. What is your confidence level that you will answer emotion word ""Determined""?",low
"If you are asked to analyze the emotion of this sentence: 我告诉你，曹小强，我现在跟你结婚。. What is your confidence level that you will answer emotion word ""Sincerity""?",low
"If you are asked to analyze the emotion of this sentence: 我告诉你，曹小强，我现在跟你结婚。. What is your confidence level that you will answer emotion word ""Happiness""?",low
"If you are asked to analyze the emotion of this sentence: 我告诉你，曹小强，我现在跟你结婚。. What is your confidence level that you will answer emotion word ""Confidence""?",low
"If you are asked to analyze the emotion of this sentence: 我告诉你，曹小强，我现在跟你结婚。. What is your confidence level that you will answer emotion word ""Certainty""?",low
"If you are asked to analyze the emotion of this sentence: 好说。. What is your confidence level that you will answer emotion word ""Relaxed""?",high
"If you are asked to analyze the emotion of this sentence: 好说。. What is your confidence level that you will answer emotion word ""Satisfied""?",medium
"If you are asked to analyze the emotion of this sentence: 好说。. What is your confidence level that you will answer emotion word ""Content""?",low
"If you are asked to analyze the emotion of this sentence: 好说。. What is your confidence level that you will answer emotion word ""Calm""?",low
"If you are asked to analyze the emotion of this sentence: 好说。. What is your confidence level that you will answer emotion word ""Contentment""?",low
"If you are asked to analyze the emotion of this sentence: 好说。. What is your confidence level that you will answer emotion word ""Pleasant""?",low
"If you are asked to analyze the emotion of this sentence: 好说。. What is your confidence level that you will answer emotion word ""Confident""?",low
"If you are asked to analyze the emotion of this sentence: 好说。. What is your confidence level that you will answer emotion word ""Satisfaction""?",low
"If you are asked to analyze the emotion of this sentence: 哈洋郑一路那个商贸城. What is your confidence level that you will answer emotion word ""Excitement""?",high
"If you are asked to analyze the emotion of this sentence: 哈洋郑一路那个商贸城. What is your confidence level that you will answer emotion word ""Curiosity""?",high
"If you are asked to analyze the emotion of this sentence: 哈洋郑一路那个商贸城. What is your confidence level that you will answer emotion word ""Anticipation""?",medium
"If you are asked to analyze the emotion of this sentence: 哈洋郑一路那个商贸城. What is your confidence level that you will answer emotion word ""Neutrality""?",low
"If you are asked to analyze the emotion of this sentence: 哈洋郑一路那个商贸城. What is your confidence level that you will answer emotion word ""Nostalgia""?",low
"If you are asked to analyze the emotion of this sentence: 哈洋郑一路那个商贸城. What is your confidence level that you will answer emotion word ""Curious""?",low
"If you are asked to analyze the emotion of this sentence: 哈洋郑一路那个商贸城. What is your confidence level that you will answer emotion word ""Surprise""?",low
"If you are asked to analyze the emotion of this sentence: 哈洋郑一路那个商贸城. What is your confidence level that you will answer emotion word ""Expectation""?",low
"If you are asked to analyze the emotion of this sentence: 小王爷何至于窝在寿春苟活. What is your confidence level that you will answer emotion word ""Resignation""?",high
"If you are asked to analyze the emotion of this sentence: 小王爷何至于窝在寿春苟活. What is your confidence level that you will answer emotion word ""Despair""?",medium
"If you are asked to analyze the emotion of this sentence: 小王爷何至于窝在寿春苟活. What is your confidence level that you will answer emotion word ""Sadness""?",medium
"If you are asked to analyze the emotion of this sentence: 小王爷何至于窝在寿春苟活. What is your confidence level that you will answer emotion word ""Desperation""?",medium
"If you are asked to analyze the emotion of this sentence: 小王爷何至于窝在寿春苟活. What is your confidence level that you will answer emotion word ""Helplessness""?",medium
"If you are asked to analyze the emotion of this sentence: 小王爷何至于窝在寿春苟活. What is your confidence level that you will answer emotion word ""Frustration""?",low
"If you are asked to analyze the emotion of this sentence: 小王爷何至于窝在寿春苟活. What is your confidence level that you will answer emotion word ""Bitter""?",low
"If you are asked to analyze the emotion of this sentence: 小王爷何至于窝在寿春苟活. What is your confidence level that you will answer emotion word ""Longing""?",low
"If you are asked to analyze the emotion of this sentence: 小王爷何至于窝在寿春苟活. What is your confidence level that you will answer emotion word ""Hopelessness""?",low
"If you are asked to analyze the emotion of this sentence: 小王爷何至于窝在寿春苟活. What is your confidence level that you will answer emotion word ""Melancholy""?",low
"If you are asked to analyze the emotion of this sentence: 小王爷何至于窝在寿春苟活. What is your confidence level that you will answer emotion word ""Desperate""?",low
"If you are asked to analyze the emotion of this sentence: 小王爷何至于窝在寿春苟活. What is your confidence level that you will answer emotion word ""Helpless""?",low
"If you are asked to analyze the emotion of this sentence: 小王爷何至于窝在寿春苟活. What is your confidence level that you will answer emotion word ""Weariness""?",low
"If you are asked to analyze the emotion of this sentence: 你不能随意出门. What is your confidence level that you will answer emotion word ""Frustration""?",high
"If you are asked to analyze the emotion of this sentence: 你不能随意出门. What is your confidence level that you will answer emotion word ""Disappointment""?",high
"If you are asked to analyze the emotion of this sentence: 你不能随意出门. What is your confidence level that you will answer emotion word ""Restriction""?",medium
"If you are asked to analyze the emotion of this sentence: 你不能随意出门. What is your confidence level that you will answer emotion word ""Anxiety""?",low
"If you are asked to analyze the emotion of this sentence: 你不能随意出门. What is your confidence level that you will answer emotion word ""Limitation""?",low
"If you are asked to analyze the emotion of this sentence: 你不能随意出门. What is your confidence level that you will answer emotion word ""Sadness""?",low
"If you are asked to analyze the emotion of this sentence: 你不能随意出门. What is your confidence level that you will answer emotion word ""Restraint""?",low
"If you are asked to analyze the emotion of this sentence: 你不能随意出门. What is your confidence level that you will answer emotion word ""Annoyance""?",low
